Date,Open,High,Low,Close,Adj Close,Volume
2021-03-25,98.639999,100.169998,98.099998,100.000000,93.289795,1992700
2021-03-26,100.599998,101.889999,100.389999,101.830002,94.996994,1705300
2021-03-29,101.220001,101.989998,100.900002,101.629997,94.810417,1494300
2021-03-30,101.529999,101.690002,101.160004,101.430000,94.623848,3041000
2021-03-31,101.320000,101.519997,101.000000,101.089996,94.306656,1464200
2021-04-01,101.099998,101.650002,100.660004,101.599998,94.782417,1412200
2021-04-05,102.309998,102.690002,102.050003,102.349998,95.482109,1745600
2021-04-06,102.239998,102.629997,102.089996,102.269997,95.407478,1846800
2021-04-07,102.290001,102.599998,101.900002,102.209999,95.351501,1158100
2021-04-08,102.250000,102.250000,101.620003,102.099998,95.248886,1414200
2021-04-09,102.300003,102.529999,101.970001,102.510002,95.631363,1659600
2021-04-12,102.529999,102.750000,102.300003,102.559998,95.678009,1206800
2021-04-13,102.250000,102.290001,101.629997,102.120003,95.267540,1194500
2021-04-14,102.040001,102.870003,101.930000,102.529999,95.650024,1358800
2021-04-15,102.809998,103.010002,102.400002,102.949997,96.041847,1523100
2021-04-16,103.480003,103.779999,103.330002,103.580002,96.629570,1228100
2021-04-19,103.519997,103.610001,102.949997,103.160004,96.237755,3514800
2021-04-20,102.809998,102.949997,102.190002,102.480003,95.603378,2478500
2021-04-21,102.470001,103.599998,102.360001,103.470001,96.526955,2064200
2021-04-22,103.519997,103.519997,102.279999,102.410004,95.538094,2417600
2021-04-23,102.489998,103.599998,102.290001,103.220001,96.293732,2017500
2021-04-26,103.410004,103.559998,102.900002,102.980003,96.069824,3646800
2021-04-27,103.070000,103.290001,102.800003,103.139999,96.219101,2545700
2021-04-28,103.239998,103.470001,103.099998,103.220001,96.293732,2664500
2021-04-29,103.800003,104.379997,103.589996,104.349998,97.347908,1222300
2021-04-30,103.970001,103.989998,103.440002,103.669998,96.713531,1190600
2021-05-03,104.309998,105.120003,104.260002,104.760002,97.730385,1488600
2021-05-04,104.580002,105.099998,104.139999,105.080002,98.028923,1873800
2021-05-05,105.389999,105.910004,105.389999,105.730003,98.635315,761400
2021-05-06,105.900002,106.830002,105.510002,106.830002,99.661491,1406900
2021-05-07,106.410004,107.559998,106.250000,107.430000,100.221237,1319500
2021-05-10,108.080002,108.709999,107.500000,107.510002,100.295860,1810900
2021-05-11,106.860001,107.190002,105.779999,106.300003,99.167046,2252900
2021-05-12,106.230003,106.410004,104.540001,104.669998,97.646431,2102000
2021-05-13,104.620003,106.739998,104.529999,106.239998,99.111069,1544900
2021-05-14,106.800003,107.639999,106.760002,107.419998,100.211899,1758900
2021-05-17,107.339996,107.750000,107.059998,107.480003,100.267876,1301300
2021-05-18,107.410004,107.489998,106.339996,106.400002,99.260330,1234000
2021-05-19,105.389999,105.839996,104.389999,105.800003,98.700592,2387800
2021-05-20,105.860001,106.739998,105.540001,106.379997,99.241676,1227600
2021-05-21,106.800003,107.250000,106.389999,106.669998,99.512222,1423200
2021-05-24,107.120003,107.379997,106.820000,107.059998,99.876045,1099200
2021-05-25,107.250000,107.250000,106.070000,106.209999,99.083069,1101400
2021-05-26,106.339996,106.510002,105.870003,106.400002,99.260330,912000
2021-05-27,106.959999,107.250000,106.500000,106.660004,99.502899,976400
2021-05-28,107.070000,107.070000,106.589996,106.809998,99.642815,1411400
2021-06-01,107.660004,107.779999,106.820000,107.080002,99.894722,1335600
2021-06-02,107.260002,107.470001,106.790001,107.330002,100.127937,1091500
2021-06-03,106.889999,107.620003,106.720001,107.489998,100.277199,1090700
2021-06-04,107.910004,108.000000,107.540001,107.949997,100.706329,1031300
2021-06-07,108.040001,108.040001,107.440002,107.639999,100.417145,1352600
2021-06-08,107.639999,107.639999,106.959999,107.449997,100.239876,1294300
2021-06-09,107.410004,107.559998,107.040001,107.080002,99.894722,1007300
2021-06-10,107.599998,107.919998,107.150002,107.260002,100.062637,1071200
2021-06-11,107.480003,107.519997,106.910004,107.330002,100.127937,1297800
2021-06-14,107.239998,107.320000,106.239998,106.860001,99.689476,977900
2021-06-15,106.989998,107.150002,106.510002,106.989998,99.810760,1314700
2021-06-16,106.970001,106.980003,105.760002,106.230003,99.101753,1583600
2021-06-17,106.290001,106.349998,104.209999,104.739998,97.711723,2551900
2021-06-18,103.820000,103.820000,102.610001,102.669998,95.780632,2102300
2021-06-21,102.540001,103.849998,102.540001,103.779999,97.530502,1842400
2021-06-22,103.849998,104.230003,103.309998,103.919998,97.662071,1063800
2021-06-23,104.019997,104.089996,103.470001,103.500000,97.267365,1355900
2021-06-24,104.080002,104.449997,103.830002,104.339996,98.056778,1370000
2021-06-25,104.529999,105.129997,104.320000,104.959999,98.639435,1519400
2021-06-28,104.980003,105.000000,104.279999,104.550003,98.254135,1055400
2021-06-29,104.820000,105.080002,104.099998,104.230003,97.953415,1411400
2021-06-30,104.160004,104.900002,104.160004,104.769997,98.460876,2851700
2021-07-01,105.190002,105.510002,104.959999,105.410004,99.062355,1225700
2021-07-02,105.559998,105.739998,105.190002,105.599998,99.240898,968200
2021-07-06,105.459999,105.459999,103.720001,104.379997,98.094368,3012200
2021-07-07,104.209999,104.750000,103.949997,104.669998,98.366905,1119800
2021-07-08,103.660004,104.129997,103.150002,103.750000,97.502327,1849300
2021-07-09,104.550003,105.330002,104.449997,105.250000,98.911987,1565700
2021-07-12,104.959999,105.680000,104.580002,105.639999,99.278503,1070900
2021-07-13,105.400002,105.570000,104.790001,104.889999,98.573677,1061200
2021-07-14,105.040001,105.470001,104.410004,104.870003,98.554871,1072800
2021-07-15,104.360001,105.089996,104.339996,104.930000,98.611259,955000
2021-07-16,105.290001,105.320000,103.940002,104.089996,97.821838,929100
2021-07-19,102.779999,103.040001,101.480003,102.330002,96.167824,2882900
2021-07-20,102.500000,104.160004,102.309998,103.660004,97.417732,1332500
2021-07-21,104.309998,104.839996,104.250000,104.669998,98.366905,1836400
2021-07-22,104.580002,104.589996,103.860001,104.160004,97.887627,700900
2021-07-23,104.550003,104.889999,104.190002,104.820000,98.507881,1067600
2021-07-26,104.690002,105.360001,104.690002,105.279999,98.940178,849900
2021-07-27,104.790001,105.269997,104.260002,105.209999,98.874397,1100500
2021-07-28,105.209999,105.470001,104.620003,105.050003,98.724030,1186400
2021-07-29,105.690002,106.080002,105.540001,105.830002,99.457054,1067500
2021-07-30,105.529999,106.050003,105.180000,105.349998,99.005959,781600
2021-08-02,105.750000,106.400002,105.080002,105.150002,98.818001,885900
2021-08-03,105.349998,106.279999,104.709999,106.250000,99.851768,1281500
2021-08-04,105.669998,105.919998,105.129997,105.139999,98.808609,1011400
2021-08-05,105.519997,105.849998,105.480003,105.820000,99.447670,696700
2021-08-06,106.220001,106.680000,106.190002,106.480003,100.067932,974600
2021-08-09,106.379997,106.529999,106.040001,106.370003,99.964546,857700
2021-08-10,106.449997,107.339996,106.300003,107.309998,100.847939,838100
2021-08-11,107.519997,108.080002,107.370003,108.050003,101.543373,903800
2021-08-12,108.059998,108.199997,107.650002,108.169998,101.656143,785800
2021-08-13,108.220001,108.309998,107.989998,108.199997,101.684334,803500
2021-08-16,107.830002,108.389999,107.279999,108.360001,101.834709,774500
2021-08-17,107.839996,108.160004,106.949997,107.849998,101.355415,1062500
2021-08-18,107.489998,107.849998,106.400002,106.500000,100.086708,888800
2021-08-19,105.680000,106.529999,105.510002,106.139999,99.748398,967800
2021-08-20,106.110001,106.959999,105.849998,106.779999,100.349854,817900
2021-08-23,107.250000,107.720001,107.250000,107.370003,100.904327,796300
2021-08-24,107.589996,107.599998,107.269997,107.389999,100.923119,758200
2021-08-25,107.480003,108.089996,107.180000,107.760002,101.270836,733400
2021-08-26,107.839996,107.849998,107.029999,107.099998,100.650566,655200
2021-08-27,107.349998,108.059998,107.290001,107.940002,101.440002,592000
2021-08-30,108.110001,108.190002,107.610001,107.669998,101.186256,587200
2021-08-31,107.620003,107.900002,107.400002,107.550003,101.073486,731600
